2011-05-04 10:05:08.909753	A001	2.46308
2011-05-04 10:05:11.362206	A001	2.48832
2011-05-04 10:05:22.611271	M052	ON
2011-05-04 10:05:25.132045	M052	OFF
2011-05-04 10:05:45.769989	A001	2.46621
2011-05-04 10:05:50.69173	A001	2.49566
2011-05-04 10:05:53.193779	M052	ON
2011-05-04 10:06:00.669663	M052	OFF
2011-05-04 10:06:04.471528	P001	2145
2011-05-04 10:06:07.94069	A001	2.47332
2011-05-04 10:06:10.395548	A001	2.49699
2011-05-04 10:06:15.338215	A001	2.47238
2011-05-04 10:06:27.610555	A001	2.50316
2011-05-04 10:06:32.526469	A001	2.47949
2011-05-04 10:06:42.525907	P001	2134
2011-05-04 10:06:42.759358	T002	24
2011-05-04 10:06:42.776385	T003	24.5
2011-05-04 10:06:42.797208	T005	21.5
2011-05-04 10:07:04.513156	A001	2.51551
2011-05-04 10:07:05.8758	M052	ON
2011-05-04 10:07:06.977137	A001	2.48746
2011-05-04 10:07:26.32447	M052	OFF
2011-05-04 10:07:26.924929	M052	ON
2011-05-04 10:07:30.592829	M052	OFF
2011-05-04 10:07:32.908874	M052	ON
2011-05-04 10:07:34.017701	A001	2.45457
2011-05-04 10:07:36.485559	A001	2.48848
2011-05-04 10:07:37.643445	M042	ON
2011-05-04 10:07:38.014718	M043	ON
2011-05-04 10:07:39.120689	M028	ON
2011-05-04 10:07:39.139331	M052	OFF
2011-05-04 10:07:40.428514	M027	ON
2011-05-04 10:07:41.986517	M043	OFF
2011-05-04 10:07:42.008848	M042	OFF
2011-05-04 10:07:44.043741	M028	OFF
2011-05-04 10:07:44.419395	M026	ON
2011-05-04 10:07:45.02737	M027	OFF
2011-05-04 10:07:46.302245	A001	2.53723
2011-05-04 10:07:47.386172	M025	ON
2011-05-04 10:07:48.764481	A001	2.48004
2011-05-04 10:07:49.037512	M024	ON
2011-05-04 10:07:49.409163	M026	OFF
2011-05-04 10:07:50.09008	M021	ON
2011-05-04 10:07:50.688964	M019	ON
2011-05-04 10:07:51.220485	A001	2.51871
2011-05-04 10:07:51.759635	M025	OFF
2011-05-04 10:07:52.262192	M018	ON
2011-05-04 10:07:52.789137	M017	ON
2011-05-04 10:07:52.804	M021	OFF
2011-05-04 10:07:53.141793	SS002	MOVED
2011-05-04 10:07:53.396053	M024	OFF
2011-05-04 10:07:53.695464	A001	2.4798
2011-05-04 10:07:54.540208	M019	OFF
2011-05-04 10:07:55.611504	M018	OFF
2011-05-04 10:07:56.073737	SS002	STILL
